# x y error_dist error_ang_rad delta_f_rad delta_r_rad omega_rads
-1.560467348682284539e-01 3.794767456614992485e-01 5.231587154883221569e-01 2.563271003615799959e+00 1.000000000000000056e-01 -1.000000000000000056e-01 2.210145607038582205e-01
-1.565042417491855908e-01 3.775620073502979346e-01 5.220873894405220206e-01 2.566462088028786503e+00 2.000000000000000111e-01 -2.000000000000000111e-01 4.456099084299720015e-01
-1.611480732903509683e-01 3.576184320317708498e-01 5.111591543075146848e-01 2.599570366671443367e+00 3.000000000000000444e-01 -3.000000000000000444e-01 6.657686557773192515e-01
-1.647361466600471558e-01 3.420909309601907755e-01 5.030434965116462598e-01 2.626239341472074162e+00 4.000000000000000222e-01 -3.926990816987241395e-01 8.864227742613994820e-01
-1.683125745543903595e-01 3.265311284201646291e-01 5.266550322739179668e-01 2.704742194954544932e+00 5.000000000000000000e-01 -3.926990816987241395e-01 1.064969710484000354e+00
-1.739769432215165779e-01 3.010626663542818049e-01 5.158438842685906245e-01 2.748257228000916097e+00 5.999999999999999778e-01 -3.926990816987241395e-01 1.192794361089183797e+00
-1.796455698957101221e-01 2.744392479484663583e-01 5.055235987544964837e-01 2.793708005467382183e+00 6.999999999999999556e-01 -3.926990816987241395e-01 1.337245018914862360e+00
-1.830016991369978752e-01 2.580106106004314004e-01 5.350365871952273977e-01 2.861784147886261565e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.592959995741696000e+00
-1.879678642213563067e-01 2.307275971145187898e-01 5.268870877502045413e-01 2.903473346885018014e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.568696558601267999e+00
-1.909316027065948718e-01 2.135249781961354176e-01 5.222874871775032846e-01 2.928069360981668812e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.555002205945661187e+00
-1.953930326848176691e-01 1.832685399703521401e-01 5.148316322449901783e-01 2.973770149311720790e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.532803950862195341e+00
