x y error lookahead integral_lateral
-7.629070123360476297e-01 -1.052806583749574809e-01 7.701370829270454132e-01 2.405205624390568120e-01 0.000000000000000000e+00
-7.592212330723033809e-01 -1.078720884591800599e-01 7.668463132964610240e-01 3.840431151911506413e-01 0.000000000000000000e+00
-7.514419904838014475e-01 -1.140139366210353167e-01 7.600422638288498733e-01 3.824101433189239785e-01 0.000000000000000000e+00
-7.466942668316003395e-01 -1.174324988196032704e-01 7.558721584356691281e-01 2.383808237653503581e-01 0.000000000000000000e+00
-7.430339463960420332e-01 -1.200490920294829955e-01 7.526694028549184567e-01 3.806406566851804341e-01 0.000000000000000000e+00
-7.343930563861356120e-01 -1.256979654020928261e-01 7.450725734949552592e-01 3.788174176387892889e-01 0.000000000000000000e+00
-7.297873329455927260e-01 -1.278311532600577838e-01 7.408983432776981015e-01 2.361347514916546930e-01 0.000000000000000000e+00
-7.209060944892873302e-01 -1.338157886982060396e-01 7.332204732389298041e-01 3.759729135773431929e-01 0.000000000000000000e+00
-7.138585133457455711e-01 -1.373181172714778575e-01 7.269458318246149187e-01 3.744669996379075827e-01 0.000000000000000000e+00
-7.051393179492236873e-01 -1.418841661538102206e-01 7.192722532692737980e-01 3.726253407846257248e-01 0.000000000000000000e+00
-7.015089838694972268e-01 -1.435364574576308283e-01 7.160429938691535989e-01 2.324064490803730565e-01 0.000000000000000000e+00
-6.987677829498757376e-01 -1.443774724662784115e-01 7.135273428849350230e-01 2.320291014327402479e-01 0.000000000000000000e+00
-6.938143650775218108e-01 -1.469723369836810067e-01 7.092102939371152104e-01 3.702104705449076327e-01 0.000000000000000000e+00
-6.903103937790593392e-01 -1.487462897230455994e-01 7.061543021647408436e-01 2.309231453247111432e-01 0.000000000000000000e+00
-6.868443916701516549e-01 -1.498828637863658386e-01 7.030078884518601301e-01 2.304511832677790251e-01 0.000000000000000000e+00
-6.843181591900716620e-01 -1.517716106639313556e-01 7.009464778432175081e-01 3.682271546823722153e-01 0.000000000000000000e+00
-6.838910822293371439e-01 -1.525647739294805905e-01 7.007018071883127641e-01 2.301052710782469091e-01 0.000000000000000000e+00
-6.806913799050693381e-01 -1.546117993295523241e-01 6.980297724087340949e-01 3.675271453780961650e-01 0.000000000000000000e+00
-6.755270120247527377e-01 -1.562299415099629440e-01 6.933574392759458416e-01 3.664057854262270375e-01 0.000000000000000000e+00
-6.728964641690682313e-01 -1.569317524293239452e-01 6.909538525920329022e-01 2.286430778888049464e-01 0.000000000000000000e+00
-6.681386505843014412e-01 -1.604912815751989297e-01 6.871438771220049757e-01 4.561431631366015260e-01 0.000000000000000000e+00
-6.570757678083806175e-01 -1.661351015863932190e-01 6.777532269344751503e-01 3.626607744642740272e-01 0.000000000000000000e+00
-6.474116164794500028e-01 -1.687674366362018619e-01 6.690472694969233913e-01 3.605713446792616073e-01 0.000000000000000000e+00
-6.431225567125878895e-01 -1.691886507544044793e-01 6.650048289273030599e-01 2.247507243390954590e-01 0.000000000000000000e+00
-6.419824602838685168e-01 -1.696776605877347577e-01 6.640270987050568285e-01 2.246040648057585076e-01 0.000000000000000000e+00
-6.332072626159570561e-01 -1.720239434362463293e-01 6.561582694327264820e-01 3.574779846638543868e-01 0.000000000000000000e+00
-6.287811392075400851e-01 -1.731854072539969480e-01 6.521954510028912244e-01 2.228293176504336781e-01 0.000000000000000000e+00
-6.238049765145078362e-01 -1.744681261372157399e-01 6.477436034127215247e-01 2.221615405119082287e-01 0.000000000000000000e+00
-6.175927806807097742e-01 -1.766929680118361490e-01 6.423715807021377344e-01 3.541691793685130540e-01 0.000000000000000000e+00
-6.106616773717311597e-01 -1.774789161521619918e-01 6.359295950724438429e-01 3.526231028173865134e-01 0.000000000000000000e+00
-6.108356797006394556e-01 -1.772903322694731054e-01 6.360440939994351783e-01 2.204066140999152712e-01 0.000000000000000000e+00
-6.105732068191265238e-01 -1.774054455489989524e-01 6.358241368458975584e-01 2.203736205268846393e-01 0.000000000000000000e+00
-6.107967863023607835e-01 -1.773456603405604848e-01 6.360221673801325082e-01 2.204033251070198762e-01 0.000000000000000000e+00
-6.113291720608806656e-01 -1.771092089545125425e-01 6.364676178008862317e-01 2.204701426701329292e-01 0.000000000000000000e+00
-6.122239930075713543e-01 -1.766706056564977811e-01 6.372053990018984315e-01 2.205808098502847758e-01 0.000000000000000000e+00
-6.118956225003898686e-01 -1.768157036057827480e-01 6.369301734701753315e-01 2.205395260205262886e-01 0.000000000000000000e+00
-6.117552193007712580e-01 -1.769317634985023702e-01 6.368275255329536311e-01 2.205241288299430447e-01 0.000000000000000000e+00
-6.114576553267170311e-01 -1.770755153628901235e-01 6.365816541486877256e-01 2.204872481223031366e-01 0.000000000000000000e+00
-6.112235835735617684e-01 -1.772732550697257436e-01 6.364118761301700289e-01 2.204617814195254932e-01 0.000000000000000000e+00
-6.110078088316769351e-01 -1.774257245833041896e-01 6.362471455316696112e-01 2.204370718297504195e-01 0.000000000000000000e+00
-6.110496329751300415e-01 -1.774276670658522237e-01 6.362878523117284635e-01 2.204431778467592640e-01 0.000000000000000000e+00
-6.110801642034238146e-01 -1.774242348723973905e-01 6.363162155744099824e-01 2.204474323361614863e-01 0.000000000000000000e+00
-6.109184445841741029e-01 -1.774759736368416996e-01 6.361753430867087555e-01 2.204263014630062911e-01 0.000000000000000000e+00
-6.104251554031963067e-01 -1.780532837777410449e-01 6.358630687601326548e-01 2.203794603140198927e-01 0.000000000000000000e+00
-5.990528985614951285e-01 -1.812300915664649126e-01 6.258663766045577947e-01 2.188799564906836470e-01 0.000000000000000000e+00
-5.977605519629460851e-01 -1.825539968350796682e-01 6.250149112169310905e-01 2.187522366825396802e-01 0.000000000000000000e+00
-5.954232862190027564e-01 -1.835337140208083695e-01 6.230678245216232369e-01 2.184601736782434966e-01 0.000000000000000000e+00
-5.874468861225269345e-01 -1.863545643657154027e-01 6.162968989659032282e-01 3.479112557518167503e-01 0.000000000000000000e+00
-5.808248559792397181e-01 -1.875760291920140488e-01 6.103624169710548664e-01 2.165543625456582411e-01 0.000000000000000000e+00
-5.789040320634932790e-01 -1.889815452677658381e-01 6.089695417598179894e-01 2.163454312639727095e-01 0.000000000000000000e+00
-5.781047180656395668e-01 -1.892182919998880997e-01 6.082833444021852332e-01 2.162425016603277683e-01 0.000000000000000000e+00
-5.734736941134596089e-01 -1.904338436955431146e-01 6.042657748580473331e-01 3.450237859659313622e-01 0.000000000000000000e+00
-5.698406667059053854e-01 -1.917792925589491548e-01 6.012467733686740479e-01 3.442992256084818070e-01 0.000000000000000000e+00
-5.577804316587005040e-01 -1.941413983136116017e-01 5.906012973915064634e-01 2.135901946087259695e-01 0.000000000000000000e+00
-5.539990022206414677e-01 -1.951292621550201889e-01 5.873587689058782368e-01 3.409661045374108301e-01 0.000000000000000000e+00
-5.525681763373738731e-01 -1.954963716187646527e-01 5.861317435670185816e-01 2.129197615350527650e-01 0.000000000000000000e+00
-5.526262004898334634e-01 -1.950878704842824440e-01 5.860503345941556752e-01 2.129075501891233291e-01 0.000000000000000000e+00
-5.413561068463011994e-01 -1.956138472581913645e-01 5.756137695181856584e-01 2.113420654277278488e-01 0.000000000000000000e+00
-5.410747965338857934e-01 -1.957529576314103181e-01 5.753965205539833816e-01 2.113094780830975239e-01 0.000000000000000000e+00
-5.426045054395360889e-01 -1.951731747847141873e-01 5.766387235339195394e-01 2.114958085300879254e-01 0.000000000000000000e+00
-5.429282656134621909e-01 -1.949693475969659362e-01 5.768744647706541828e-01 2.115311697155981274e-01 0.000000000000000000e+00
-5.414939441926349684e-01 -1.955496808625995508e-01 5.757216074482188750e-01 2.113582411172328368e-01 0.000000000000000000e+00
-5.422111080618294832e-01 -1.954550293668982919e-01 5.763640812979691219e-01 2.114546121946953572e-01 0.000000000000000000e+00
-5.324545557424961162e-01 -1.947932399772654422e-01 5.669676007249262462e-01 3.360722241739823035e-01 0.000000000000000000e+00
-5.231400941347171818e-01 -1.960831459830459922e-01 5.586807301401125470e-01 3.340833752336270224e-01 0.000000000000000000e+00
-5.119882398824771030e-01 -1.986987149658603347e-01 5.491931692101069684e-01 3.318063606104257324e-01 0.000000000000000000e+00
-5.072298119262539373e-01 -1.995422230306094780e-01 5.450680516034125400e-01 3.308163323848190007e-01 0.000000000000000000e+00
-5.048255865503459283e-01 -2.001319404329737761e-01 5.430484936148595176e-01 2.064572740422289110e-01 0.000000000000000000e+00
-5.028064859197566294e-01 -2.003760840886772421e-01 5.412623553857104364e-01 2.061893533078565655e-01 0.000000000000000000e+00
-5.024932274580768965e-01 -2.002799940021458558e-01 5.409357814368856987e-01 2.061403672155328604e-01 0.000000000000000000e+00
-5.014898901330202552e-01 -2.002741617732363699e-01 5.400017127561737018e-01 2.060002569134260497e-01 0.000000000000000000e+00
-5.016581600887777270e-01 -2.004877165967473562e-01 5.402372016899941176e-01 2.060355802534991065e-01 0.000000000000000000e+00
-4.984044095028214438e-01 -2.013866503013621023e-01 5.375532888295441181e-01 2.056329933244316344e-01 0.000000000000000000e+00
-4.956741980895782995e-01 -2.020097712374149257e-01 5.352577494321210105e-01 2.052886624148181349e-01 0.000000000000000000e+00
-4.925774718348491232e-01 -2.027257767727280169e-01 5.326634080986956121e-01 2.048995112148043196e-01 0.000000000000000000e+00
-4.869500364989837182e-01 -2.031268424434095610e-01 5.276180931008633834e-01 2.041427139651295075e-01 0.000000000000000000e+00
-4.774515454523893254e-01 -2.044484853958411508e-01 5.193834435516100356e-01 3.246520264523864441e-01 0.000000000000000000e+00
-4.718203415405459733e-01 -2.044356887605037199e-01 5.142065592059469337e-01 2.021309838808920400e-01 0.000000000000000000e+00
-4.683480405036632988e-01 -2.039755843304464356e-01 5.108384539622757847e-01 2.016257680943413511e-01 0.000000000000000000e+00
-4.662646782202028994e-01 -2.039746619057534183e-01 5.089286913265509416e-01 2.013393036989826190e-01 0.000000000000000000e+00
-4.631853043802888203e-01 -2.044375823479833154e-01 5.062957152397690175e-01 2.009443572859653526e-01 0.000000000000000000e+00
-4.608756161938254436e-01 -2.052283672596801334e-01 5.045047237936552964e-01 2.006757085690482889e-01 0.000000000000000000e+00
-4.585447138925251576e-01 -2.053752878939287818e-01 5.024363278230306040e-01 2.003654491734545851e-01 0.000000000000000000e+00
-4.552292219662622541e-01 -2.061272537569961427e-01 4.997220119960792406e-01 1.999583017994118750e-01 0.000000000000000000e+00
-4.559916924781306502e-01 -2.059915545533014813e-01 5.003608139696351653e-01 2.000541220954452637e-01 0.000000000000000000e+00
-4.500283998643049843e-01 -2.065737880508559110e-01 4.951750100662458687e-01 1.992762515099368859e-01 0.000000000000000000e+00
-4.377531433890314849e-01 -2.055465297947522973e-01 4.836085094967239595e-01 3.160660422792137547e-01 0.000000000000000000e+00
-4.338494260502279709e-01 -2.056392237308702908e-01 4.801175010565092438e-01 1.970176251584763727e-01 0.000000000000000000e+00
-4.255984293694830001e-01 -2.053580149345918260e-01 4.725525763125695278e-01 3.134126183150167111e-01 0.000000000000000000e+00
-4.259250407570115415e-01 -2.044980500477410756e-01 4.724739070225892901e-01 3.133937376854214474e-01 0.000000000000000000e+00
-4.255301803369165303e-01 -2.023784493981423127e-01 4.712037469697850089e-01 1.956805620454677430e-01 0.000000000000000000e+00
-3.998055807290359365e-01 -2.042296349155027779e-01 4.489479325710290514e-01 1.923421898856543522e-01 0.000000000000000000e+00
-3.913153795965729209e-01 -2.045875754029375382e-01 4.415697026722537610e-01 3.059767286413409004e-01 0.000000000000000000e+00
-3.898526444008307834e-01 -2.049352296055740319e-01 4.404356169519104136e-01 1.910653425427865648e-01 0.000000000000000000e+00
-3.877110016834214301e-01 -2.048758928564452519e-01 4.385133433546665183e-01 1.907770015031999833e-01 0.000000000000000000e+00
-3.892072026168784671e-01 -2.044664724908262787e-01 4.396462042844196949e-01 1.909469306426629376e-01 0.000000000000000000e+00
-3.787320144978580383e-01 -2.050575491532807271e-01 4.306814800642765895e-01 1.896022220096414967e-01 0.000000000000000000e+00
-3.759012300317234878e-01 -2.049107507861632760e-01 4.281239896655077981e-01 1.892185984498261642e-01 0.000000000000000000e+00
-3.672073031593081627e-01 -2.044831532039550481e-01 4.203029424567049088e-01 3.008727061896092070e-01 0.000000000000000000e+00
-3.648775332526322246e-01 -2.033778283605027215e-01 4.177297635327890113e-01 1.876594645299183295e-01 0.000000000000000000e+00
-3.501380885838795698e-01 -2.022941972629551666e-01 4.043755968446119398e-01 2.970501432427068988e-01 0.000000000000000000e+00
-3.392416343281345892e-01 -2.027002712100413606e-01 3.951863945156109392e-01 2.948447346837466121e-01 0.000000000000000000e+00
-3.316750442079907102e-01 -2.024378804792391073e-01 3.885735842839799781e-01 1.832860376425969884e-01 0.000000000000000000e+00
-3.304034701606931024e-01 -2.021882320185443005e-01 3.873584054348281902e-01 2.929660173043587834e-01 0.000000000000000000e+00
-3.263872339380064491e-01 -2.017025067348067746e-01 3.836828478063721293e-01 1.825524271709558222e-01 0.000000000000000000e+00
-3.260783913600792117e-01 -2.016401655357859535e-01 3.833873676443658729e-01 1.825081051466548865e-01 0.000000000000000000e+00
-3.259026399200494195e-01 -2.016050621495554251e-01 3.832194303413952730e-01 1.824829145512092965e-01 0.000000000000000000e+00
-3.258247566953242358e-01 -2.015964584255962588e-01 3.831486710472977730e-01 1.824723006570946604e-01 0.000000000000000000e+00
-3.257176318159888950e-01 -2.015859635126863725e-01 3.830520543753214713e-01 1.824578081562982235e-01 0.000000000000000000e+00
-3.256204393696814359e-01 -2.015864831914301325e-01 3.829696864515429455e-01 1.824454529677314307e-01 0.000000000000000000e+00
-3.255339984842854362e-01 -2.015892706752834274e-01 3.828976602443000532e-01 1.824346490366449969e-01 0.000000000000000000e+00
-3.254572726150781747e-01 -2.015915886038911475e-01 3.828336517260281235e-01 1.824250477589042241e-01 0.000000000000000000e+00
-3.254046375303958349e-01 -2.015927791785080414e-01 3.827895332205453749e-01 1.824184299830818035e-01 0.000000000000000000e+00
-3.253131418648774753e-01 -2.015945686842601781e-01 3.827126995449599556e-01 1.824069049317439961e-01 0.000000000000000000e+00
-3.252559543163436873e-01 -2.015952836284523042e-01 3.826644668629053392e-01 1.823996700294358009e-01 0.000000000000000000e+00
-3.251785358863178432e-01 -2.015971857968621994e-01 3.825996674363215666e-01 1.823899501154482294e-01 0.000000000000000000e+00
-3.251240373935015415e-01 -2.015991863347303403e-01 3.825544034799185367e-01 1.823831605219877749e-01 0.000000000000000000e+00
-3.250233857796354098e-01 -2.016000060411360373e-01 3.824692977736171007e-01 1.823703946660425457e-01 0.000000000000000000e+00
-3.249143303907056635e-01 -2.016037283798723934e-01 3.823785890840463719e-01 1.823567883626069364e-01 0.000000000000000000e+00
-3.248304604970858045e-01 -2.016046352809102160e-01 3.823078040447221437e-01 1.823461706067083243e-01 0.000000000000000000e+00
-3.247824848675013309e-01 -2.016062820325404403e-01 3.822679105440227598e-01 1.823401865816034195e-01 0.000000000000000000e+00
-3.246764767362168569e-01 -2.016089681830825486e-01 3.821792650022896587e-01 1.823268897503434460e-01 0.000000000000000000e+00
-3.246193075513289505e-01 -2.016095252311316255e-01 3.821309925915805650e-01 1.823196488887370847e-01 0.000000000000000000e+00
-3.245453081658207783e-01 -2.016116466440978083e-01 3.820692517266890964e-01 1.823103877590033783e-01 0.000000000000000000e+00
-3.244541750388337809e-01 -2.016137741934327932e-01 3.819929654386984841e-01 1.822989448158047754e-01 0.000000000000000000e+00
-3.243592354292403335e-01 -2.016148970615202485e-01 3.819129224383076004e-01 1.822869383657461373e-01 0.000000000000000000e+00
-3.243228909520232683e-01 -2.016142707075478935e-01 3.818817248159623312e-01 1.822822587223943414e-01 0.000000000000000000e+00
-3.242329635707575375e-01 -2.016161495690845240e-01 3.818063467688032619e-01 1.822709520153204810e-01 0.000000000000000000e+00
-3.241815112254862186e-01 -2.016181196112462604e-01 3.817636944184384373e-01 1.822645541627657684e-01 0.000000000000000000e+00
-3.240998959657873102e-01 -2.016196145418114871e-01 3.816951814380459274e-01 1.822542772157068891e-01 0.000000000000000000e+00
-3.240287528768565628e-01 -2.016207409039432741e-01 3.816353702863323760e-01 1.822453055429498481e-01 0.000000000000000000e+00
-3.239003429065503425e-01 -2.016227655700746357e-01 3.815274193699663696e-01 1.822291129054949554e-01 0.000000000000000000e+00
-3.238484409202567749e-01 -2.016255755600777633e-01 3.814848429576379041e-01 1.822227264436456773e-01 0.000000000000000000e+00
